kernel_id,run_name,mode,kname,status,t_arrival,t_scheduled,t_configured,t_completed
156,parallel,Tiled,saxpy,COMPLETED,381665100105,381693238682,381693241026,381693242736
157,parallel,Tiled,matmul,COMPLETED,381665100166,381693242758,381693245133,381700088719
158,parallel,Tiled,saxpy,COMPLETED,381665100223,381693328967,381693331346,381693333169
159,parallel,Tiled,2mm,COMPLETED,381665100307,381720603915,381720608580,381727455915
160,parallel,Tiled,2mm,COMPLETED,381665100354,381720637675,381720642359,381727489493
161,parallel,Tiled,saxpy,COMPLETED,381665100418,381693333216,381693335482,381693338406
162,parallel,Tiled,2mm,COMPLETED,381665100460,381720760475,381720765070,381727612881
163,parallel,Tiled,2mm,COMPLETED,381665100519,381727422163,381727426885,381734282933
164,parallel,Tiled,2mm,COMPLETED,381665100569,381727456036,381727460737,381734317012
165,parallel,Tiled,saxpy,COMPLETED,381665100616,381693335789,381693338122,381693341020
166,parallel,Tiled,matmul,COMPLETED,381665100685,381693338462,381693340844,381700183356
167,parallel,Tiled,matmul,COMPLETED,381665100765,381693341035,381693343408,381700185930
168,parallel,Tiled,saxpy,COMPLETED,381665100813,381693366560,381693368910,381693370725
169,parallel,Tiled,2mm,COMPLETED,381665100881,381727489522,381727494187,381734350510
170,parallel,Tiled,saxpy,COMPLETED,381665100943,381693370740,381693373022,381693374813
171,parallel,Tiled,saxpy,COMPLETED,381665101036,381693374832,381693377188,381693378898
172,parallel,Tiled,2mm,COMPLETED,381665101167,381727612935,381727617664,381734473744
173,parallel,Tiled,saxpy,COMPLETED,381665101203,381693378935,381693381240,381693384026
174,parallel,Tiled,saxpy,COMPLETED,381665101248,381693381496,381693383807,381693388996
175,parallel,Tiled,saxpy,COMPLETED,381665101345,381693384042,381693386354,381693388998
176,parallel,Tiled,2mm,COMPLETED,381665101398,381734282962,381734287672,381741144371
177,parallel,Tiled,matmul,COMPLETED,381665101456,381693386358,381693388732,381700233529
178,parallel,Tiled,matmul,COMPLETED,381665101559,381693389067,381693391398,381700236237
179,parallel,Tiled,saxpy,COMPLETED,381665101616,381693391400,381693393749,381693395680
180,parallel,Tiled,saxpy,COMPLETED,381665101665,381693395713,381693398075,381693399932
181,parallel,Tiled,2mm,COMPLETED,381665101708,381734317038,381734321691,381741178332
182,parallel,Tiled,saxpy,COMPLETED,381665101767,381693399958,381693402383,381693404182
183,parallel,Tiled,matmul,COMPLETED,381665101806,381693404204,381693406542,381700251032
184,parallel,Tiled,saxpy,COMPLETED,381665101835,381700060183,381700062493,381700064496
185,parallel,Tiled,matmul,COMPLETED,381665101879,381700064521,381700066808,381706930593
186,parallel,Tiled,saxpy,COMPLETED,381665101946,381700082100,381700084405,381700086105
187,parallel,Tiled,saxpy,COMPLETED,381665102014,381700086132,381700088488,381700091372
188,parallel,Tiled,saxpy,COMPLETED,381665102083,381700088779,381700091138,381700093982
189,parallel,Tiled,saxpy,COMPLETED,381665102152,381700091440,381700093723,381700096610
190,parallel,Tiled,saxpy,COMPLETED,381665102202,381700094017,381700096357,381700099153
191,parallel,Tiled,2mm,COMPLETED,381665102269,381734350536,381734355208,381741211886
192,parallel,Tiled,saxpy,COMPLETED,381665102444,381700096625,381700098920,381700101754
193,parallel,Tiled,saxpy,COMPLETED,381665102525,381700099173,381700101462,381700104442
194,parallel,Tiled,saxpy,COMPLETED,381665102616,381700101803,381700104189,381700107043
195,parallel,Tiled,2mm,COMPLETED,381665102700,381734473773,381734478388,381741335412
196,parallel,Tiled,matmul,COMPLETED,381665102768,381700104461,381700106782,381706973433
197,parallel,Tiled,matmul,COMPLETED,381665102847,381700107067,381700109433,381706975991
198,parallel,Tiled,2mm,COMPLETED,381665102930,381741144424,381741149126,381747983533
199,parallel,Tiled,matmul,COMPLETED,381665102995,381700183391,381700185677,381707051601
200,parallel,Tiled,saxpy,COMPLETED,381665103059,381700186032,381700188316,381700190106
201,parallel,Tiled,saxpy,COMPLETED,381665103132,381700190123,381700192458,381700194284
202,parallel,Tiled,matmul,COMPLETED,381665103226,381700194302,381700196643,381707062882
203,parallel,Tiled,saxpy,COMPLETED,381665103296,381700233622,381700235967,381700238900
204,parallel,Tiled,2mm,COMPLETED,381665103345,381741178411,381741183086,381748017320
205,parallel,Tiled,saxpy,COMPLETED,381665103452,381700236277,381700238664,381700241529
206,parallel,Tiled,saxpy,COMPLETED,381665103507,381700238937,381700241272,381700244121
207,parallel,Tiled,matmul,COMPLETED,381665103603,381700241551,381700243864,381707109599
208,parallel,Tiled,saxpy,COMPLETED,381665103686,381700244168,381700246460,381700248220
209,parallel,Tiled,2mm,COMPLETED,381665103814,381741211925,381741216529,381748050775
210,parallel,Tiled,saxpy,COMPLETED,381665103864,381700248244,381700250564,381700253617
211,parallel,Tiled,2mm,COMPLETED,381665103930,381741335540,381741340155,381748174580
212,parallel,Tiled,matmul,COMPLETED,381665103999,381700251053,381700253360,381707119663
213,parallel,Tiled,matmul,COMPLETED,381665104090,381700253641,381700255972,381707122254
214,parallel,Tiled,2mm,COMPLETED,381665104170,381747983686,381747988399,381754826800
215,parallel,Tiled,matmul,COMPLETED,381665104239,381706930620,381706932910,381713795794
216,parallel,Tiled,saxpy,COMPLETED,381665104344,381706973467,381706975741,381706978653
217,parallel,Tiled,saxpy,COMPLETED,381665104414,381706976040,381706978371,381706981270
218,parallel,Tiled,2mm,COMPLETED,381665104542,381748017348,381748022022,381754860394
219,parallel,Tiled,matmul,COMPLETED,381665104694,381706978674,381706981027,381713844652
220,parallel,Tiled,2mm,COMPLETED,381665104752,381748050809,381748055463,381754894093
221,parallel,Tiled,saxpy,COMPLETED,381665104785,381706981327,381706983625,381706985330
222,parallel,Tiled,2mm,COMPLETED,381665104885,381748174629,381748179310,381755017649
223,parallel,Tiled,2mm,COMPLETED,381665104959,381754826843,381754831544,381761667262
224,parallel,Tiled,matmul,COMPLETED,381665105053,381706985366,381706987671,381713851301
225,parallel,Tiled,2mm,COMPLETED,381665105224,381754860423,381754865282,381761700680
226,parallel,Tiled,2mm,COMPLETED,381665105348,381754894125,381754898823,381761734582
227,parallel,Tiled,saxpy,COMPLETED,381665105434,381707051638,381707053957,381707055915
228,parallel,Tiled,saxpy,COMPLETED,381665105589,381707055940,381707058268,381707060215
229,parallel,Tiled,saxpy,COMPLETED,381665105643,381707060233,381707062615,381707065483
230,parallel,Tiled,saxpy,COMPLETED,381665105764,381707062909,381707065253,381707068043
231,parallel,Tiled,matmul,COMPLETED,381665105879,381707065522,381707067813,381713931746
232,parallel,Tiled,saxpy,COMPLETED,381665105949,381707068077,381707070414,381707072340
